Date,Bank,Currency,Buy Rate,Sell Rate
2023-12-01,BCR,USD,"17,62","17,95"
2023-12-01,BCR,EUR,"19,22","19,62"
2023-12-01,BCR,RON,"3,83","3,97"
2023-12-01,BCR,UAH,"0,38","0,52"
2023-12-04,BCR,USD,"17,56","17,94"
2023-12-04,BCR,EUR,"19,07","19,52"
2023-12-04,BCR,RON,"3,83","3,97"
2023-12-04,BCR,UAH,"0,38","0,52"
2023-12-05,BCR,USD,"17,56","17,90"
2023-12-05,BCR,EUR,"19,00","19,44"
2023-12-05,BCR,RON,"3,80","3,94"
2023-12-05,BCR,UAH,"0,38","0,52"
2023-12-06,BCR,USD,"17,54","17,88"
2023-12-06,BCR,EUR,"18,90","19,32"
2023-12-06,BCR,RON,"3,80","3,94"
2023-12-06,BCR,UAH,"0,38","0,52"
2023-12-07,BCR,USD,"17,55","17,88"
2023-12-07,BCR,EUR,"18,90","19,30"
2023-12-07,BCR,RON,"3,80","3,93"
2023-12-07,BCR,UAH,"0,38","0,52"
2023-12-08,BCR,USD,"17,62","17,92"
2023-12-08,BCR,EUR,"19,03","19,38"
2023-12-08,BCR,RON,"3,80","3,93"
2023-12-08,BCR,UAH,"0,38","0,52"
2023-12-11,BCR,USD,"17,72","18,03"
2023-12-11,BCR,EUR,"19,10","19,46"
2023-12-11,BCR,RON,"3,82","3,94"
2023-12-11,BCR,UAH,"0,38","0,52"
2023-12-12,BCR,USD,"17,82","18,10"
2023-12-12,BCR,EUR,"19,20","19,54"
2023-12-12,BCR,RON,"3,83","3,97"
2023-12-12,BCR,UAH,"0,38","0,52"
2023-12-13,BCR,USD,"17,80","18,10"
2023-12-13,BCR,EUR,"19,20","19,55"
2023-12-13,BCR,RON,"3,83","3,97"
2023-12-13,BCR,UAH,"0,38","0,52"
2023-12-14,BCR,USD,"17,68","18,03"
2023-12-14,BCR,EUR,"19,20","19,66"
2023-12-14,BCR,RON,"3,84","3,98"
2023-12-14,BCR,UAH,"0,38","0,52"
2023-12-15,BCR,USD,"17,60","17,95"
2023-12-15,BCR,EUR,"19,27","19,72"
2023-12-15,BCR,RON,"3,84","3,98"
2023-12-15,BCR,UAH,"0,38","0,52"
2023-12-18,BCR,USD,"17,48","17,84"
2023-12-18,BCR,EUR,"19,07","19,52"
2023-12-18,BCR,RON,"3,80","3,95"
2023-12-18,BCR,UAH,"0,38","0,52"
2023-12-19,BCR,USD,"17,40","17,77"
2023-12-19,BCR,EUR,"18,96","19,46"
2023-12-19,BCR,RON,"3,80","3,94"
2023-12-19,BCR,UAH,"0,38","0,52"
2023-12-20,BCR,USD,"17,36","17,70"
2023-12-20,BCR,EUR,"19,00","19,43"
2023-12-20,BCR,RON,"3,80","3,94"
2023-12-20,BCR,UAH,"0,38","0,52"
2023-12-21,BCR,USD,"17,42","17,75"
2023-12-21,BCR,EUR,"19,06","19,47"
2023-12-21,BCR,RON,"3,80","3,94"
2023-12-21,BCR,UAH,"0,38","0,52"
2023-12-22,BCR,USD,"17,42","17,75"
2023-12-22,BCR,EUR,"19,15","19,55"
2023-12-22,BCR,RON,"3,82","3,96"
2023-12-22,BCR,UAH,"0,38","0,52"
2023-12-26,BCR,USD,"17,32","17,69"
2023-12-26,BCR,EUR,"19,05","19,55"
2023-12-26,BCR,RON,"3,82","3,96"
2023-12-26,BCR,UAH,"0,38","0,52"
2023-12-27,BCR,USD,"17,20","17,60"
2023-12-27,BCR,EUR,"18,96","19,46"
2023-12-27,BCR,RON,"3,82","3,96"
2023-12-27,BCR,UAH,"0,38","0,52"
2023-12-28,BCR,USD,"17,15","17,58"
2023-12-28,BCR,EUR,"19,00","19,55"
2023-12-28,BCR,RON,"3,82","3,96"
2023-12-28,BCR,UAH,"0,38","0,52"
2023-12-29,BCR,USD,"17,30","17,65"
2023-12-29,BCR,EUR,"19,13","19,57"
2023-12-29,BCR,RON,"3,82","3,96"
2023-12-29,BCR,UAH,"0,38","0,52"
