Date,Bank,Currency,Buy Rate,Sell Rate
2023-12-01,ECB,USD,"17,64","17,92"
2023-12-01,ECB,EUR,"19,26","19,56"
2023-12-01,ECB,RON,"3,83","3,93"
2023-12-01,ECB,GBP,"21,80","22,60"
2023-12-01,ECB,CHF,"19,80","20,50"
2023-12-04,ECB,USD,"17,65","17,92"
2023-12-04,ECB,EUR,"19,20","19,50"
2023-12-04,ECB,RON,"3,82","3,93"
2023-12-04,ECB,GBP,"21,80","22,60"
2023-12-04,ECB,CHF,"19,80","20,50"
2023-12-05,ECB,USD,"17,60","17,88"
2023-12-05,ECB,EUR,"19,10","19,42"
2023-12-05,ECB,RON,"3,80","3,92"
2023-12-05,ECB,GBP,"21,70","22,50"
2023-12-05,ECB,CHF,"19,70","20,40"
2023-12-06,ECB,USD,"17,58","17,86"
2023-12-06,ECB,EUR,"19,00","19,30"
2023-12-06,ECB,RON,"3,78","3,90"
2023-12-06,ECB,GBP,"21,60","22,40"
2023-12-06,ECB,CHF,"19,60","20,30"
2023-12-07,ECB,USD,"17,60","17,86"
2023-12-07,ECB,EUR,"19,00","19,28"
2023-12-07,ECB,RON,"3,78","3,92"
2023-12-07,ECB,GBP,"21,60","22,30"
2023-12-07,ECB,CHF,"19,60","20,30"
2023-12-08,ECB,USD,"17,63","17,88"
2023-12-08,ECB,EUR,"19,08","19,38"
2023-12-08,ECB,RON,"3,78","3,92"
2023-12-08,ECB,GBP,"21,60","22,40"
2023-12-08,ECB,CHF,"19,60","20,40"
2023-12-11,ECB,USD,"17,73","18,03"
2023-12-11,ECB,EUR,"19,13","19,47"
2023-12-11,ECB,RON,"3,80","3,92"
2023-12-11,ECB,GBP,"21,60","22,50"
2023-12-11,ECB,CHF,"19,60","20,40"
2023-12-12,ECB,USD,"17,83","18,10"
2023-12-12,ECB,EUR,"19,23","19,53"
2023-12-12,ECB,RON,"3,82","3,93"
2023-12-12,ECB,GBP,"22,00","22,65"
2023-12-12,ECB,CHF,"20,00","20,60"
2023-12-13,ECB,USD,"17,81","18,09"
2023-12-13,ECB,EUR,"19,23","19,53"
2023-12-13,ECB,RON,"3,82","3,92"
2023-12-13,ECB,GBP,"22,00","22,60"
2023-12-13,ECB,CHF,"20,00","20,60"
2023-12-14,ECB,USD,"17,72","17,98"
2023-12-14,ECB,EUR,"19,24","19,58"
2023-12-14,ECB,RON,"3,82","3,94"
2023-12-14,ECB,GBP,"22,00","22,60"
2023-12-14,ECB,CHF,"20,00","20,60"
2023-12-15,ECB,USD,"17,55","17,88"
2023-12-15,ECB,EUR,"19,22","19,58"
2023-12-15,ECB,RON,"3,82","3,95"
2023-12-15,ECB,GBP,"22,00","22,70"
2023-12-15,ECB,CHF,"20,00","20,60"
2023-12-18,ECB,USD,"17,52","17,82"
2023-12-18,ECB,EUR,"19,12","19,48"
2023-12-18,ECB,RON,"3,80","3,93"
2023-12-18,ECB,GBP,"21,80","22,60"
2023-12-18,ECB,CHF,"19,80","20,50"
2023-12-19,ECB,USD,"17,45","17,74"
2023-12-19,ECB,EUR,"19,05","19,38"
2023-12-19,ECB,RON,"3,80","3,90"
2023-12-19,ECB,GBP,"21,70","22,40"
2023-12-19,ECB,CHF,"19,70","20,40"
2023-12-20,ECB,USD,"17,36","17,65"
2023-12-20,ECB,EUR,"19,06","19,35"
2023-12-20,ECB,RON,"3,78","3,90"
2023-12-20,ECB,GBP,"21,60","22,40"
2023-12-20,ECB,CHF,"19,60","20,40"
2023-12-21,ECB,USD,"17,46","17,73"
2023-12-21,ECB,EUR,"19,14","19,43"
2023-12-21,ECB,RON,"3,80","3,90"
2023-12-21,ECB,GBP,"21,50","22,40"
2023-12-21,ECB,CHF,"19,60","20,50"
2023-12-22,ECB,USD,"17,44","17,72"
2023-12-22,ECB,EUR,"19,18","19,48"
2023-12-22,ECB,RON,"3,80","3,92"
2023-12-22,ECB,GBP,"21,60","22,40"
2023-12-22,ECB,CHF,"19,80","20,60"
2023-12-26,ECB,USD,"17,30","17,65"
2023-12-26,ECB,EUR,"19,05","19,45"
2023-12-26,ECB,RON,"3,78","3,92"
2023-12-26,ECB,GBP,"21,30","22,40"
2023-12-26,ECB,CHF,"19,50","20,60"
2023-12-27,ECB,USD,"17,20","17,55"
2023-12-27,ECB,EUR,"18,95","19,35"
2023-12-27,ECB,RON,"3,75","3,90"
2023-12-27,ECB,GBP,"21,20","22,30"
2023-12-27,ECB,CHF,"19,40","20,50"
2023-12-28,ECB,USD,"17,20","17,49"
2023-12-28,ECB,EUR,"19,00","19,39"
2023-12-28,ECB,RON,"3,78","3,90"
2023-12-28,ECB,GBP,"21,20","22,30"
2023-12-28,ECB,CHF,"19,60","20,70"
2023-12-29,ECB,USD,"17,27","17,57"
2023-12-29,ECB,EUR,"19,12","19,47"
2023-12-29,ECB,RON,"3,78","3,90"
2023-12-29,ECB,GBP,"21,20","22,30"
2023-12-29,ECB,CHF,"19,70","20,80"
