Date,Bank,Currency,Buy Rate,Sell Rate
2023-12-01,ENERGBANK,USD,"17,63","17,92"
2023-12-01,ENERGBANK,EUR,"19,25","19,58"
2023-12-01,ENERGBANK,RON,"3,83","3,96"
2023-12-01,ENERGBANK,GBP,"21,00","22,65"
2023-12-01,ENERGBANK,CHF,"18,50","20,50"
2023-12-02,ENERGBANK,USD,"17,63","17,92"
2023-12-02,ENERGBANK,EUR,"19,05","19,47"
2023-12-02,ENERGBANK,RON,"3,78","3,94"
2023-12-02,ENERGBANK,GBP,"21,00","22,65"
2023-12-02,ENERGBANK,CHF,"18,50","20,50"
2023-12-03,ENERGBANK,USD,"17,63","17,92"
2023-12-03,ENERGBANK,EUR,"19,05","19,47"
2023-12-03,ENERGBANK,RON,"3,78","3,94"
2023-12-03,ENERGBANK,GBP,"21,00","22,65"
2023-12-03,ENERGBANK,CHF,"18,50","20,50"
2023-12-04,ENERGBANK,USD,"17,65","17,92"
2023-12-04,ENERGBANK,EUR,"19,17","19,49"
2023-12-04,ENERGBANK,RON,"3,80","3,95"
2023-12-04,ENERGBANK,GBP,"21,00","22,65"
2023-12-04,ENERGBANK,CHF,"18,50","20,50"
2023-12-05,ENERGBANK,USD,"17,55","17,88"
2023-12-05,ENERGBANK,EUR,"19,05","19,40"
2023-12-05,ENERGBANK,RON,"3,78","3,93"
2023-12-05,ENERGBANK,GBP,"21,00","22,65"
2023-12-05,ENERGBANK,CHF,"18,50","20,50"
2023-12-06,ENERGBANK,USD,"17,58","17,88"
2023-12-06,ENERGBANK,EUR,"19,00","19,31"
2023-12-06,ENERGBANK,RON,"3,77","3,92"
2023-12-06,ENERGBANK,GBP,"21,00","22,65"
2023-12-06,ENERGBANK,CHF,"18,50","20,50"
2023-12-07,ENERGBANK,USD,"17,58","17,88"
2023-12-07,ENERGBANK,EUR,"19,00","19,29"
2023-12-07,ENERGBANK,RON,"3,77","3,92"
2023-12-07,ENERGBANK,GBP,"21,00","22,65"
2023-12-07,ENERGBANK,CHF,"18,50","20,50"
2023-12-08,ENERGBANK,USD,"17,67","17,93"
2023-12-08,ENERGBANK,EUR,"19,08","19,39"
2023-12-08,ENERGBANK,RON,"3,78","3,93"
2023-12-08,ENERGBANK,GBP,"21,00","22,65"
2023-12-08,ENERGBANK,CHF,"18,50","20,50"
2023-12-09,ENERGBANK,USD,"17,73","17,99"
2023-12-09,ENERGBANK,EUR,"19,12","19,45"
2023-12-09,ENERGBANK,RON,"3,78","3,94"
2023-12-09,ENERGBANK,GBP,"21,00","22,65"
2023-12-09,ENERGBANK,CHF,"18,50","20,50"
2023-12-10,ENERGBANK,USD,"17,73","17,99"
2023-12-10,ENERGBANK,EUR,"19,12","19,45"
2023-12-10,ENERGBANK,RON,"3,78","3,94"
2023-12-10,ENERGBANK,GBP,"21,00","22,65"
2023-12-10,ENERGBANK,CHF,"18,50","20,50"
2023-12-11,ENERGBANK,USD,"17,74","18,04"
2023-12-11,ENERGBANK,EUR,"19,15","19,48"
2023-12-11,ENERGBANK,RON,"3,80","3,93"
2023-12-11,ENERGBANK,GBP,"21,00","22,55"
2023-12-11,ENERGBANK,CHF,"18,50","20,50"
2023-12-12,ENERGBANK,USD,"17,85","18,12"
2023-12-12,ENERGBANK,EUR,"19,25","19,55"
2023-12-12,ENERGBANK,RON,"3,83","3,95"
2023-12-12,ENERGBANK,GBP,"21,00","22,55"
2023-12-12,ENERGBANK,CHF,"18,50","20,50"
2023-12-13,ENERGBANK,USD,"17,82","18,10"
2023-12-13,ENERGBANK,EUR,"19,23","19,53"
2023-12-13,ENERGBANK,RON,"3,82","3,95"
2023-12-13,ENERGBANK,GBP,"21,00","22,55"
2023-12-13,ENERGBANK,CHF,"18,50","20,50"
2023-12-14,ENERGBANK,USD,"17,70","18,00"
2023-12-14,ENERGBANK,EUR,"19,25","19,57"
2023-12-14,ENERGBANK,RON,"3,82","3,96"
2023-12-14,ENERGBANK,GBP,"21,00","22,65"
2023-12-14,ENERGBANK,CHF,"18,50","20,50"
2023-12-15,ENERGBANK,USD,"17,60","17,90"
2023-12-15,ENERGBANK,EUR,"19,25","19,57"
2023-12-15,ENERGBANK,RON,"3,82","3,98"
2023-12-15,ENERGBANK,GBP,"21,00","22,65"
2023-12-15,ENERGBANK,CHF,"18,50","20,50"
2023-12-16,ENERGBANK,USD,"17,55","17,87"
2023-12-16,ENERGBANK,EUR,"19,10","19,52"
2023-12-16,ENERGBANK,RON,"3,80","3,95"
2023-12-16,ENERGBANK,GBP,"21,00","22,65"
2023-12-16,ENERGBANK,CHF,"18,50","20,50"
2023-12-17,ENERGBANK,USD,"17,55","17,87"
2023-12-17,ENERGBANK,EUR,"19,10","19,52"
2023-12-17,ENERGBANK,RON,"3,80","3,95"
2023-12-17,ENERGBANK,GBP,"21,00","22,65"
2023-12-17,ENERGBANK,CHF,"18,50","20,50"
2023-12-18,ENERGBANK,USD,"17,53","17,82"
2023-12-18,ENERGBANK,EUR,"19,10","19,45"
2023-12-18,ENERGBANK,RON,"3,78","3,94"
2023-12-18,ENERGBANK,GBP,"21,00","22,65"
2023-12-18,ENERGBANK,CHF,"18,50","20,50"
2023-12-19,ENERGBANK,USD,"17,43","17,74"
2023-12-19,ENERGBANK,EUR,"19,00","19,38"
2023-12-19,ENERGBANK,RON,"3,78","3,93"
2023-12-19,ENERGBANK,GBP,"21,00","22,50"
2023-12-19,ENERGBANK,CHF,"18,50","20,50"
2023-12-20,ENERGBANK,USD,"17,35","17,64"
2023-12-20,ENERGBANK,EUR,"19,00","19,37"
2023-12-20,ENERGBANK,RON,"3,77","3,91"
2023-12-20,ENERGBANK,GBP,"21,00","22,50"
2023-12-20,ENERGBANK,CHF,"18,50","20,50"
2023-12-21,ENERGBANK,USD,"17,45","17,73"
2023-12-21,ENERGBANK,EUR,"19,15","19,45"
2023-12-21,ENERGBANK,RON,"3,80","3,94"
2023-12-21,ENERGBANK,GBP,"21,00","22,50"
2023-12-21,ENERGBANK,CHF,"18,50","20,50"
2023-12-22,ENERGBANK,USD,"17,44","17,72"
2023-12-22,ENERGBANK,EUR,"19,17","19,48"
2023-12-22,ENERGBANK,RON,"3,80","3,94"
2023-12-22,ENERGBANK,GBP,"21,00","22,50"
2023-12-22,ENERGBANK,CHF,"18,50","20,50"
2023-12-23,ENERGBANK,USD,"17,40","17,74"
2023-12-23,ENERGBANK,EUR,"19,17","19,58"
2023-12-23,ENERGBANK,RON,"3,80","3,96"
2023-12-23,ENERGBANK,GBP,"21,00","22,50"
2023-12-23,ENERGBANK,CHF,"18,50","20,50"
2023-12-24,ENERGBANK,USD,"17,40","17,74"
2023-12-24,ENERGBANK,EUR,"19,17","19,58"
2023-12-24,ENERGBANK,RON,"3,80","3,96"
2023-12-24,ENERGBANK,GBP,"21,00","22,50"
2023-12-24,ENERGBANK,CHF,"18,50","20,50"
2023-12-25,ENERGBANK,USD,"17,40","17,74"
2023-12-25,ENERGBANK,EUR,"19,17","19,58"
2023-12-25,ENERGBANK,RON,"3,80","3,96"
2023-12-25,ENERGBANK,GBP,"21,00","22,50"
2023-12-25,ENERGBANK,CHF,"18,50","20,50"
2023-12-26,ENERGBANK,USD,"17,37","17,67"
2023-12-26,ENERGBANK,EUR,"19,10","19,45"
2023-12-26,ENERGBANK,RON,"3,78","3,93"
2023-12-26,ENERGBANK,GBP,"21,00","22,50"
2023-12-26,ENERGBANK,CHF,"18,50","20,50"
2023-12-27,ENERGBANK,USD,"17,30","17,62"
2023-12-27,ENERGBANK,EUR,"19,05","19,38"
2023-12-27,ENERGBANK,RON,"3,78","3,93"
2023-12-27,ENERGBANK,GBP,"21,00","22,50"
2023-12-27,ENERGBANK,CHF,"18,50","20,50"
2023-12-28,ENERGBANK,USD,"17,18","17,49"
2023-12-28,ENERGBANK,EUR,"19,02","19,38"
2023-12-28,ENERGBANK,RON,"3,77","3,93"
2023-12-28,ENERGBANK,GBP,"21,00","22,50"
2023-12-28,ENERGBANK,CHF,"18,50","20,50"
2023-12-29,ENERGBANK,USD,"17,30","17,63"
2023-12-29,ENERGBANK,EUR,"19,15","19,55"
2023-12-29,ENERGBANK,RON,"3,78","3,94"
2023-12-29,ENERGBANK,GBP,"21,00","22,50"
2023-12-29,ENERGBANK,CHF,"18,50","20,50"
