Date,Bank,Currency,Buy Rate,Sell Rate
2023-12-01,EXIMBANK,USD,"17,61","17,91"
2023-12-01,EXIMBANK,EUR,"19,23","19,53"
2023-12-01,EXIMBANK,RON,"3,80","3,97"
2023-12-04,EXIMBANK,USD,"17,62","17,92"
2023-12-04,EXIMBANK,EUR,"19,20","19,50"
2023-12-04,EXIMBANK,RON,"3,78","3,96"
2023-12-05,EXIMBANK,USD,"17,58","17,88"
2023-12-05,EXIMBANK,EUR,"19,08","19,40"
2023-12-05,EXIMBANK,RON,"3,76","3,92"
2023-12-06,EXIMBANK,USD,"17,55","17,87"
2023-12-06,EXIMBANK,EUR,"19,00","19,30"
2023-12-06,EXIMBANK,RON,"3,76","3,92"
2023-12-07,EXIMBANK,USD,"17,57","17,87"
2023-12-07,EXIMBANK,EUR,"18,98","19,28"
2023-12-07,EXIMBANK,RON,"3,76","3,92"
2023-12-08,EXIMBANK,USD,"17,60","17,90"
2023-12-08,EXIMBANK,EUR,"19,08","19,38"
2023-12-08,EXIMBANK,RON,"3,76","3,92"
2023-12-11,EXIMBANK,USD,"17,72","18,02"
2023-12-11,EXIMBANK,EUR,"19,12","19,46"
2023-12-11,EXIMBANK,RON,"3,78","3,94"
2023-12-12,EXIMBANK,USD,"17,82","18,10"
2023-12-12,EXIMBANK,EUR,"19,22","19,52"
2023-12-12,EXIMBANK,RON,"3,80","3,95"
2023-12-13,EXIMBANK,USD,"17,78","18,08"
2023-12-13,EXIMBANK,EUR,"19,17","19,51"
2023-12-13,EXIMBANK,RON,"3,80","3,95"
2023-12-14,EXIMBANK,USD,"17,67","17,97"
2023-12-14,EXIMBANK,EUR,"19,17","19,53"
2023-12-14,EXIMBANK,RON,"3,80","3,97"
2023-12-15,EXIMBANK,USD,"17,60","17,90"
2023-12-15,EXIMBANK,EUR,"19,26","19,58"
2023-12-15,EXIMBANK,RON,"3,82","3,98"
2023-12-18,EXIMBANK,USD,"17,56","17,84"
2023-12-18,EXIMBANK,EUR,"19,15","19,52"
2023-12-18,EXIMBANK,RON,"3,79","3,95"
2023-12-19,EXIMBANK,USD,"17,45","17,75"
2023-12-19,EXIMBANK,EUR,"19,08","19,38"
2023-12-19,EXIMBANK,RON,"3,78","3,94"
2023-12-20,EXIMBANK,USD,"17,35","17,65"
2023-12-20,EXIMBANK,EUR,"19,07","19,37"
2023-12-20,EXIMBANK,RON,"3,77","3,93"
2023-12-21,EXIMBANK,USD,"17,38","17,68"
2023-12-21,EXIMBANK,EUR,"19,09","19,39"
2023-12-21,EXIMBANK,RON,"3,78","3,94"
2023-12-22,EXIMBANK,USD,"17,40","17,70"
2023-12-22,EXIMBANK,EUR,"19,13","19,46"
2023-12-22,EXIMBANK,RON,"3,78","3,94"
2023-12-26,EXIMBANK,USD,"17,30","17,65"
2023-12-26,EXIMBANK,EUR,"19,05","19,45"
2023-12-26,EXIMBANK,RON,"3,78","3,94"
2023-12-27,EXIMBANK,USD,"17,20","17,60"
2023-12-27,EXIMBANK,EUR,"18,95","19,35"
2023-12-27,EXIMBANK,RON,"3,75","3,93"
2023-12-28,EXIMBANK,USD,"17,18","17,56"
2023-12-28,EXIMBANK,EUR,"18,98","19,44"
2023-12-28,EXIMBANK,RON,"3,76","3,93"
2023-12-29,EXIMBANK,USD,"17,25","17,60"
2023-12-29,EXIMBANK,EUR,"19,12","19,48"
2023-12-29,EXIMBANK,RON,"3,76","3,93"
