Date,Bank,Currency,Buy Rate,Sell Rate
2023-12-01,FINCOMBANK,USD,"17,65","17,91"
2023-12-01,FINCOMBANK,EUR,"19,28","19,55"
2023-12-01,FINCOMBANK,RON,"3,81","3,95"
2023-12-01,FINCOMBANK,GBP,"22,05","22,60"
2023-12-04,FINCOMBANK,USD,"17,65","17,91"
2023-12-04,FINCOMBANK,EUR,"19,23","19,48"
2023-12-04,FINCOMBANK,RON,"3,81","3,94"
2023-12-04,FINCOMBANK,GBP,"22,15","22,65"
2023-12-05,FINCOMBANK,USD,"17,60","17,87"
2023-12-05,FINCOMBANK,EUR,"19,11","19,39"
2023-12-05,FINCOMBANK,RON,"3,79","3,92"
2023-12-05,FINCOMBANK,GBP,"22,00","22,55"
2023-12-06,FINCOMBANK,USD,"17,60","17,86"
2023-12-06,FINCOMBANK,EUR,"19,00","19,28"
2023-12-06,FINCOMBANK,RON,"3,77","3,90"
2023-12-06,FINCOMBANK,GBP,"21,95","22,45"
2023-12-07,FINCOMBANK,USD,"17,67","17,89"
2023-12-07,FINCOMBANK,EUR,"19,07","19,30"
2023-12-07,FINCOMBANK,RON,"3,77","3,90"
2023-12-07,FINCOMBANK,GBP,"21,85","22,35"
2023-12-08,FINCOMBANK,USD,"17,63","17,89"
2023-12-08,FINCOMBANK,EUR,"19,09","19,37"
2023-12-08,FINCOMBANK,RON,"3,78","3,91"
2023-12-08,FINCOMBANK,GBP,"21,98","22,48"
2023-12-11,FINCOMBANK,USD,"17,74","18,00"
2023-12-11,FINCOMBANK,EUR,"19,16","19,45"
2023-12-11,FINCOMBANK,RON,"3,80","3,93"
2023-12-11,FINCOMBANK,GBP,"22,13","22,60"
2023-12-12,FINCOMBANK,USD,"17,79","18,09"
2023-12-12,FINCOMBANK,EUR,"19,22","19,53"
2023-12-12,FINCOMBANK,RON,"3,80","3,94"
2023-12-12,FINCOMBANK,GBP,"22,25","22,69"
2023-12-13,FINCOMBANK,USD,"17,80","18,07"
2023-12-13,FINCOMBANK,EUR,"19,20","19,48"
2023-12-13,FINCOMBANK,RON,"3,80","3,94"
2023-12-13,FINCOMBANK,GBP,"22,09","22,65"
2023-12-14,FINCOMBANK,USD,"17,74","18,00"
2023-12-14,FINCOMBANK,EUR,"19,26","19,53"
2023-12-14,FINCOMBANK,RON,"3,82","3,96"
2023-12-14,FINCOMBANK,GBP,"22,17","22,70"
2023-12-15,FINCOMBANK,USD,"17,62","17,90"
2023-12-15,FINCOMBANK,EUR,"19,28","19,56"
2023-12-15,FINCOMBANK,RON,"3,83","3,97"
2023-12-15,FINCOMBANK,GBP,"22,20","22,80"
2023-12-18,FINCOMBANK,USD,"17,55","17,83"
2023-12-18,FINCOMBANK,EUR,"19,16","19,44"
2023-12-18,FINCOMBANK,RON,"3,80","3,94"
2023-12-18,FINCOMBANK,GBP,"22,00","22,55"
2023-12-19,FINCOMBANK,USD,"17,50","17,73"
2023-12-19,FINCOMBANK,EUR,"19,10","19,38"
2023-12-19,FINCOMBANK,RON,"3,78","3,92"
2023-12-19,FINCOMBANK,GBP,"21,85","22,40"
2023-12-20,FINCOMBANK,USD,"17,42","17,64"
2023-12-20,FINCOMBANK,EUR,"19,10","19,35"
2023-12-20,FINCOMBANK,RON,"3,77","3,91"
2023-12-20,FINCOMBANK,GBP,"21,83","22,40"
2023-12-21,FINCOMBANK,USD,"17,50","17,73"
2023-12-21,FINCOMBANK,EUR,"19,16","19,43"
2023-12-21,FINCOMBANK,RON,"3,78","3,92"
2023-12-21,FINCOMBANK,GBP,"21,80","22,40"
2023-12-22,FINCOMBANK,USD,"17,45","17,71"
2023-12-22,FINCOMBANK,EUR,"19,17","19,45"
2023-12-22,FINCOMBANK,RON,"3,80","3,94"
2023-12-22,FINCOMBANK,GBP,"21,80","22,40"
2023-12-26,FINCOMBANK,USD,"17,40","17,66"
2023-12-26,FINCOMBANK,EUR,"19,08","19,35"
2023-12-26,FINCOMBANK,RON,"3,80","3,92"
2023-12-26,FINCOMBANK,GBP,"21,80","22,35"
2023-12-27,FINCOMBANK,USD,"17,30","17,58"
2023-12-27,FINCOMBANK,EUR,"19,05","19,35"
2023-12-27,FINCOMBANK,RON,"3,77","3,91"
2023-12-27,FINCOMBANK,GBP,"21,70","22,30"
2023-12-28,FINCOMBANK,USD,"17,20","17,50"
2023-12-28,FINCOMBANK,EUR,"19,08","19,35"
2023-12-28,FINCOMBANK,RON,"3,77","3,91"
2023-12-28,FINCOMBANK,GBP,"21,60","22,30"
2023-12-29,FINCOMBANK,USD,"17,28","17,56"
2023-12-29,FINCOMBANK,EUR,"19,15","19,45"
2023-12-29,FINCOMBANK,RON,"3,76","3,91"
2023-12-29,FINCOMBANK,GBP,"21,65","22,20"
