Date,Bank,Currency,Buy Rate,Sell Rate
2023-12-01,MAIB,USD,"17,63","17,93"
2023-12-01,MAIB,EUR,"19,25","19,57"
2023-12-01,MAIB,RON,"3,82","3,97"
2023-12-01,MAIB,UAH,"0,44","0,50"
2023-12-01,MAIB,GBP,"22,17","22,67"
2023-12-01,MAIB,CHF,"20,00","20,52"
2023-12-04,MAIB,USD,"17,63","17,93"
2023-12-04,MAIB,EUR,"19,20","19,52"
2023-12-04,MAIB,RON,"3,80","3,95"
2023-12-04,MAIB,UAH,"0,45","0,51"
2023-12-04,MAIB,GBP,"22,20","22,73"
2023-12-04,MAIB,CHF,"20,05","20,60"
2023-12-05,MAIB,USD,"17,59","17,89"
2023-12-05,MAIB,EUR,"19,10","19,42"
2023-12-05,MAIB,RON,"3,78","3,93"
2023-12-05,MAIB,UAH,"0,45","0,51"
2023-12-05,MAIB,GBP,"22,05","22,60"
2023-12-05,MAIB,CHF,"20,00","20,52"
2023-12-06,MAIB,USD,"17,57","17,87"
2023-12-06,MAIB,EUR,"18,98","19,30"
2023-12-06,MAIB,RON,"3,77","3,92"
2023-12-06,MAIB,UAH,"0,44","0,50"
2023-12-06,MAIB,GBP,"22,00","22,52"
2023-12-06,MAIB,CHF,"19,93","20,43"
2023-12-07,MAIB,USD,"17,57","17,87"
2023-12-07,MAIB,EUR,"18,98","19,30"
2023-12-07,MAIB,RON,"3,77","3,92"
2023-12-07,MAIB,UAH,"0,44","0,50"
2023-12-07,MAIB,GBP,"21,90","22,40"
2023-12-07,MAIB,CHF,"19,90","20,40"
2023-12-08,MAIB,USD,"17,60","17,90"
2023-12-08,MAIB,EUR,"19,07","19,39"
2023-12-08,MAIB,RON,"3,77","3,92"
2023-12-08,MAIB,UAH,"0,44","0,50"
2023-12-08,MAIB,GBP,"22,05","22,53"
2023-12-08,MAIB,CHF,"19,95","20,45"
2023-12-11,MAIB,USD,"17,73","18,03"
2023-12-11,MAIB,EUR,"19,15","19,47"
2023-12-11,MAIB,RON,"3,79","3,94"
2023-12-11,MAIB,UAH,"0,44","0,50"
2023-12-11,MAIB,GBP,"22,15","22,62"
2023-12-11,MAIB,CHF,"20,00","20,50"
2023-12-12,MAIB,USD,"17,80","18,10"
2023-12-12,MAIB,EUR,"19,22","19,54"
2023-12-12,MAIB,RON,"3,80","3,95"
2023-12-12,MAIB,UAH,"0,44","0,50"
2023-12-12,MAIB,GBP,"22,30","22,75"
2023-12-12,MAIB,CHF,"20,15","20,65"
2023-12-13,MAIB,USD,"17,80","18,10"
2023-12-13,MAIB,EUR,"19,22","19,54"
2023-12-13,MAIB,RON,"3,80","3,95"
2023-12-13,MAIB,UAH,"0,44","0,50"
2023-12-13,MAIB,GBP,"22,25","22,70"
2023-12-13,MAIB,CHF,"20,18","20,70"
2023-12-14,MAIB,USD,"17,72","18,02"
2023-12-14,MAIB,EUR,"19,24","19,56"
2023-12-14,MAIB,RON,"3,81","3,97"
2023-12-14,MAIB,UAH,"0,44","0,50"
2023-12-14,MAIB,GBP,"22,25","22,75"
2023-12-14,MAIB,CHF,"20,25","20,75"
2023-12-15,MAIB,USD,"17,55","17,85"
