Date,Bank,Currency,Buy Rate,Sell Rate
2023-12-01,MICB,USD,"17,57","17,91"
2023-12-01,MICB,EUR,"19,20","19,56"
2023-12-01,MICB,RON,"3,78","3,98"
2023-12-01,MICB,GBP,"20,70","22,70"
2023-12-01,MICB,CHF,"19,50","20,50"
2023-12-04,MICB,USD,"17,55","17,91"
2023-12-04,MICB,EUR,"19,10","19,50"
2023-12-04,MICB,RON,"3,78","3,98"
2023-12-04,MICB,GBP,"20,70","22,70"
2023-12-04,MICB,CHF,"19,60","20,60"
2023-12-05,MICB,USD,"17,53","17,87"
2023-12-05,MICB,EUR,"19,01","19,41"
2023-12-05,MICB,RON,"3,78","3,96"
2023-12-05,MICB,GBP,"20,60","22,60"
2023-12-05,MICB,CHF,"19,50","20,50"
2023-12-06,MICB,USD,"17,50","17,86"
2023-12-06,MICB,EUR,"18,91","19,29"
2023-12-06,MICB,RON,"3,77","3,95"
2023-12-06,MICB,GBP,"20,60","22,60"
2023-12-06,MICB,CHF,"19,50","20,50"
2023-12-07,MICB,USD,"17,50","17,86"
2023-12-07,MICB,EUR,"18,91","19,29"
2023-12-07,MICB,RON,"3,75","3,93"
2023-12-07,MICB,GBP,"20,50","22,50"
2023-12-07,MICB,CHF,"19,40","20,40"
2023-12-08,MICB,USD,"17,56","17,89"
2023-12-08,MICB,EUR,"19,03","19,38"
2023-12-08,MICB,RON,"3,76","3,94"
2023-12-08,MICB,GBP,"20,50","22,50"
2023-12-08,MICB,CHF,"19,40","20,40"
2023-12-11,MICB,USD,"17,67","18,02"
2023-12-11,MICB,EUR,"19,10","19,46"
2023-12-11,MICB,RON,"3,76","3,94"
2023-12-11,MICB,GBP,"20,50","22,50"
2023-12-11,MICB,CHF,"19,40","20,40"
2023-12-12,MICB,USD,"17,80","18,10"
2023-12-12,MICB,EUR,"19,22","19,55"
2023-12-12,MICB,RON,"3,79","3,95"
2023-12-12,MICB,GBP,"20,70","22,70"
2023-12-12,MICB,CHF,"19,60","20,60"
2023-12-13,MICB,USD,"17,80","18,10"
2023-12-13,MICB,EUR,"19,17","19,53"
2023-12-13,MICB,RON,"3,80","3,97"
2023-12-13,MICB,GBP,"20,70","22,70"
2023-12-13,MICB,CHF,"19,60","20,60"
2023-12-14,MICB,USD,"17,67","18,01"
2023-12-14,MICB,EUR,"19,17","19,53"
2023-12-14,MICB,RON,"3,80","3,99"
2023-12-14,MICB,GBP,"20,70","22,70"
2023-12-14,MICB,CHF,"19,70","20,70"
2023-12-15,MICB,USD,"17,57","17,91"
2023-12-15,MICB,EUR,"19,17","19,55"
2023-12-15,MICB,RON,"3,82","4,00"
2023-12-15,MICB,GBP,"21,00","22,80"
2023-12-15,MICB,CHF,"19,70","20,70"
2023-12-18,MICB,USD,"17,47","17,83"
2023-12-18,MICB,EUR,"19,07","19,44"
2023-12-18,MICB,RON,"3,80","3,98"
2023-12-18,MICB,GBP,"21,00","22,80"
2023-12-18,MICB,CHF,"19,70","20,70"
2023-12-19,MICB,USD,"17,38","17,73"
2023-12-19,MICB,EUR,"18,95","19,38"
2023-12-19,MICB,RON,"3,78","3,96"
2023-12-19,MICB,GBP,"21,00","22,60"
2023-12-19,MICB,CHF,"19,60","20,60"
2023-12-20,MICB,USD,"17,28","17,63"
2023-12-20,MICB,EUR,"18,89","19,36"
2023-12-20,MICB,RON,"3,77","3,95"
2023-12-20,MICB,GBP,"21,00","22,50"
2023-12-20,MICB,CHF,"19,60","20,60"
2023-12-21,MICB,USD,"17,38","17,73"
2023-12-21,MICB,EUR,"19,03","19,44"
2023-12-21,MICB,RON,"3,75","3,95"
2023-12-21,MICB,GBP,"21,00","22,40"
2023-12-21,MICB,CHF,"19,50","20,50"
2023-12-22,MICB,USD,"17,40","17,72"
2023-12-22,MICB,EUR,"19,11","19,47"
2023-12-22,MICB,RON,"3,76","3,96"
2023-12-22,MICB,GBP,"21,00","22,50"
2023-12-22,MICB,CHF,"19,70","20,70"
2023-12-26,MICB,USD,"17,30","17,67"
2023-12-26,MICB,EUR,"19,01","19,40"
2023-12-26,MICB,RON,"3,77","3,97"
2023-12-26,MICB,GBP,"21,00","22,50"
2023-12-26,MICB,CHF,"19,70","20,70"
2023-12-27,MICB,USD,"17,20","17,58"
2023-12-27,MICB,EUR,"18,95","19,35"
2023-12-27,MICB,RON,"3,77","3,96"
2023-12-27,MICB,GBP,"21,00","22,50"
2023-12-27,MICB,CHF,"19,70","20,70"
2023-12-28,MICB,USD,"17,10","17,48"
2023-12-28,MICB,EUR,"18,90","19,33"
2023-12-28,MICB,RON,"3,76","3,96"
2023-12-28,MICB,GBP,"21,00","22,50"
2023-12-28,MICB,CHF,"19,80","20,80"
2023-12-29,MICB,USD,"17,18","17,56"
2023-12-29,MICB,EUR,"19,02","19,46"
2023-12-29,MICB,RON,"3,76","3,96"
2023-12-29,MICB,GBP,"21,00","22,40"
2023-12-29,MICB,CHF,"19,80","20,80"
