Date,Bank,Currency,Buy Rate,Sell Rate
2023-12-01,MOBIASBANCA,USD,"17,60","17,95"
2023-12-01,MOBIASBANCA,EUR,"19,20","19,58"
2023-12-01,MOBIASBANCA,UAH,"0,45","0,50"
2023-12-01,MOBIASBANCA,GBP,"22,05","22,90"
2023-12-02,MOBIASBANCA,USD,"17,60","17,95"
2023-12-02,MOBIASBANCA,EUR,"19,10","19,45"
2023-12-02,MOBIASBANCA,UAH,"0,45","0,50"
2023-12-02,MOBIASBANCA,GBP,"21,80","22,70"
2023-12-04,MOBIASBANCA,USD,"17,60","17,95"
2023-12-04,MOBIASBANCA,EUR,"19,15","19,52"
2023-12-04,MOBIASBANCA,UAH,"0,45","0,50"
2023-12-04,MOBIASBANCA,GBP,"22,15","22,90"
2023-12-05,MOBIASBANCA,USD,"17,56","17,92"
2023-12-05,MOBIASBANCA,EUR,"19,12","19,47"
2023-12-05,MOBIASBANCA,UAH,"0,45","0,50"
2023-12-05,MOBIASBANCA,GBP,"22,00","22,80"
2023-12-06,MOBIASBANCA,USD,"17,54","17,89"
2023-12-06,MOBIASBANCA,EUR,"19,04","19,35"
2023-12-06,MOBIASBANCA,UAH,"0,44","0,50"
2023-12-06,MOBIASBANCA,GBP,"21,80","22,75"
2023-12-07,MOBIASBANCA,USD,"17,55","17,90"
2023-12-07,MOBIASBANCA,EUR,"19,05","19,33"
2023-12-07,MOBIASBANCA,UAH,"0,44","0,50"
2023-12-07,MOBIASBANCA,GBP,"21,85","22,65"
2023-12-08,MOBIASBANCA,USD,"17,65","17,95"
2023-12-08,MOBIASBANCA,EUR,"19,05","19,45"
2023-12-08,MOBIASBANCA,UAH,"0,44","0,50"
2023-12-08,MOBIASBANCA,GBP,"21,50","22,70"
2023-12-09,MOBIASBANCA,USD,"17,65","17,95"
2023-12-09,MOBIASBANCA,EUR,"19,05","19,45"
2023-12-09,MOBIASBANCA,UAH,"0,44","0,50"
2023-12-09,MOBIASBANCA,GBP,"21,50","22,70"
2023-12-11,MOBIASBANCA,USD,"17,70","18,05"
