Date,Bank,Currency,Buy Rate,Sell Rate
2023-12-01,VICTORIABANK,USD,"17,57","17,95"
2023-12-01,VICTORIABANK,EUR,"19,10","19,55"
2023-12-01,VICTORIABANK,RON,"3,78","3,96"
2023-12-01,VICTORIABANK,GBP,"21,75","22,80"
2023-12-01,VICTORIABANK,CHF,"19,70","20,70"
2023-12-02,VICTORIABANK,USD,"17,60","17,95"
2023-12-02,VICTORIABANK,EUR,"19,05","19,49"
2023-12-02,VICTORIABANK,RON,"3,75","3,95"
2023-12-02,VICTORIABANK,GBP,"21,70","22,70"
2023-12-02,VICTORIABANK,CHF,"19,70","20,68"
2023-12-03,VICTORIABANK,USD,"17,60","17,95"
2023-12-03,VICTORIABANK,EUR,"19,05","19,49"
2023-12-03,VICTORIABANK,RON,"3,75","3,95"
2023-12-03,VICTORIABANK,GBP,"21,70","22,70"
2023-12-03,VICTORIABANK,CHF,"19,70","20,68"
2023-12-04,VICTORIABANK,USD,"17,57","17,95"
2023-12-04,VICTORIABANK,EUR,"19,05","19,49"
2023-12-04,VICTORIABANK,RON,"3,75","3,95"
2023-12-04,VICTORIABANK,GBP,"21,85","22,85"
2023-12-04,VICTORIABANK,CHF,"19,90","20,75"
2023-12-05,VICTORIABANK,USD,"17,57","17,95"
2023-12-05,VICTORIABANK,EUR,"19,00","19,47"
2023-12-05,VICTORIABANK,RON,"3,75","3,95"
2023-12-05,VICTORIABANK,GBP,"21,85","22,77"
2023-12-05,VICTORIABANK,CHF,"19,90","20,70"
2023-12-06,VICTORIABANK,USD,"17,50","17,89"
2023-12-06,VICTORIABANK,EUR,"18,90","19,35"
2023-12-06,VICTORIABANK,RON,"3,74","3,93"
2023-12-06,VICTORIABANK,GBP,"21,80","22,67"
2023-12-06,VICTORIABANK,CHF,"19,85","20,56"
2023-12-07,VICTORIABANK,USD,"17,50","17,89"
2023-12-07,VICTORIABANK,EUR,"19,05","19,32"
2023-12-07,VICTORIABANK,RON,"3,77","3,93"
2023-12-07,VICTORIABANK,GBP,"22,05","22,60"
2023-12-07,VICTORIABANK,CHF,"20,05","20,57"
2023-12-08,VICTORIABANK,USD,"17,58","17,92"
2023-12-08,VICTORIABANK,EUR,"19,14","19,41"
2023-12-08,VICTORIABANK,RON,"3,81","3,93"
2023-12-08,VICTORIABANK,GBP,"22,10","22,68"
2023-12-08,VICTORIABANK,CHF,"20,05","20,65"
2023-12-09,VICTORIABANK,USD,"17,65","18,05"
2023-12-09,VICTORIABANK,EUR,"19,10","19,49"
2023-12-09,VICTORIABANK,RON,"3,80","3,95"
2023-12-09,VICTORIABANK,GBP,"22,10","22,80"
2023-12-09,VICTORIABANK,CHF,"20,05","20,77"
2023-12-10,VICTORIABANK,USD,"17,65","18,05"
2023-12-10,VICTORIABANK,EUR,"19,10","19,49"
2023-12-10,VICTORIABANK,RON,"3,80","3,95"
2023-12-10,VICTORIABANK,GBP,"22,10","22,80"
2023-12-10,VICTORIABANK,CHF,"20,05","20,77"
2023-12-11,VICTORIABANK,USD,"17,68","18,04"
2023-12-11,VICTORIABANK,EUR,"19,18","19,47"
2023-12-11,VICTORIABANK,RON,"3,83","3,95"
2023-12-11,VICTORIABANK,GBP,"22,20","22,75"
2023-12-11,VICTORIABANK,CHF,"20,17","20,70"
2023-12-12,VICTORIABANK,USD,"17,70","18,09"
2023-12-12,VICTORIABANK,EUR,"19,10","19,49"
2023-12-12,VICTORIABANK,RON,"3,80","3,95"
2023-12-12,VICTORIABANK,GBP,"22,20","22,85"
2023-12-12,VICTORIABANK,CHF,"20,12","20,79"
2023-12-13,VICTORIABANK,USD,"17,78","18,12"
2023-12-13,VICTORIABANK,EUR,"19,17","19,57"
2023-12-13,VICTORIABANK,RON,"3,82","3,96"
2023-12-13,VICTORIABANK,GBP,"22,15","22,87"
2023-12-13,VICTORIABANK,CHF,"20,20","20,83"
2023-12-14,VICTORIABANK,USD,"17,70","18,05"
2023-12-14,VICTORIABANK,EUR,"19,17","19,67"
2023-12-14,VICTORIABANK,RON,"3,80","3,99"
2023-12-14,VICTORIABANK,GBP,"22,25","22,90"
2023-12-14,VICTORIABANK,CHF,"20,20","20,95"
2023-12-15,VICTORIABANK,USD,"17,57","17,95"
2023-12-15,VICTORIABANK,EUR,"19,20","19,72"
2023-12-15,VICTORIABANK,RON,"3,80","3,99"
2023-12-15,VICTORIABANK,GBP,"22,20","23,05"
2023-12-15,VICTORIABANK,CHF,"20,10","20,90"
2023-12-16,VICTORIABANK,USD,"17,50","17,89"
2023-12-16,VICTORIABANK,EUR,"19,05","19,53"
2023-12-16,VICTORIABANK,RON,"3,75","3,98"
2023-12-16,VICTORIABANK,GBP,"22,75","22,85"
2023-12-16,VICTORIABANK,CHF,"19,97","20,77"
2023-12-17,VICTORIABANK,USD,"17,50","17,89"
2023-12-17,VICTORIABANK,EUR,"19,05","19,53"
2023-12-17,VICTORIABANK,RON,"3,75","3,98"
2023-12-17,VICTORIABANK,GBP,"22,75","22,85"
2023-12-17,VICTORIABANK,CHF,"19,97","20,77"
2023-12-18,VICTORIABANK,USD,"17,53","17,89"
2023-12-18,VICTORIABANK,EUR,"19,10","19,55"
2023-12-18,VICTORIABANK,RON,"3,77","3,96"
2023-12-18,VICTORIABANK,GBP,"22,00","22,80"
2023-12-18,VICTORIABANK,CHF,"20,00","20,70"
2023-12-19,VICTORIABANK,USD,"17,40","17,79"
2023-12-19,VICTORIABANK,EUR,"18,95","19,43"
2023-12-19,VICTORIABANK,RON,"3,74","3,94"
2023-12-19,VICTORIABANK,GBP,"21,80","22,63"
2023-12-19,VICTORIABANK,CHF,"19,87","20,68"
2023-12-20,VICTORIABANK,USD,"17,35","17,75"
2023-12-20,VICTORIABANK,EUR,"18,95","19,45"
2023-12-20,VICTORIABANK,RON,"3,77","3,96"
2023-12-20,VICTORIABANK,GBP,"21,83","22,67"
2023-12-20,VICTORIABANK,CHF,"19,90","20,76"
2023-12-21,VICTORIABANK,USD,"17,43","17,75"
2023-12-21,VICTORIABANK,EUR,"19,17","19,49"
2023-12-21,VICTORIABANK,RON,"3,81","3,94"
2023-12-21,VICTORIABANK,GBP,"21,95","22,65"
2023-12-21,VICTORIABANK,CHF,"20,05","20,76"
2023-12-22,VICTORIABANK,USD,"17,35","17,74"
