Date,Bank,Currency,Buy Rate,Sell Rate,Week
2023-12-11,MAIB,RON,"3,79","3,94",2890173
2023-12-11,VICTORIABANK,USD,"17,68","18,04",2890173
2023-12-11,MICB,USD,"17,67","18,02",2890173
2023-12-11,MAIB,USD,"17,73","18,03",2890173
2023-12-11,MAIB,UAH,"0,44","0,50",2890173
2023-12-11,VICTORIABANK,RON,"3,83","3,95",2890173
2023-12-11,MICB,RON,"3,76","3,94",2890173
2023-12-11,VICTORIABANK,GBP,"22,20","22,75",2890173
2023-12-11,VICTORIABANK,CHF,"20,17","20,70",2890173
2023-12-11,MAIB,GBP,"22,15","22,62",2890173
2023-12-11,VICTORIABANK,EUR,"19,18","19,47",2890173
2023-12-11,MICB,EUR,"19,10","19,46",2890173
2023-12-11,MAIB,EUR,"19,15","19,47",2890173
2023-12-11,MICB,CHF,"19,40","20,40",2890173
2023-12-11,MAIB,CHF,"20,00","20,50",2890173
2023-12-11,MICB,GBP,"20,50","22,50",2890173
2023-12-12,MAIB,RON,"3,80","3,95",2890173
2023-12-12,MICB,USD,"17,80","18,10",2890173
2023-12-12,MAIB,USD,"17,80","18,10",2890173
2023-12-12,MAIB,UAH,"0,44","0,50",2890173
2023-12-12,VICTORIABANK,USD,"17,70","18,09",2890173
2023-12-12,MICB,RON,"3,79","3,95",2890173
2023-12-12,VICTORIABANK,GBP,"22,20","22,85",2890173
2023-12-12,VICTORIABANK,RON,"3,80","3,95",2890173
2023-12-12,MAIB,GBP,"22,30","22,75",2890173
2023-12-12,VICTORIABANK,EUR,"19,10","19,49",2890173
2023-12-12,MICB,EUR,"19,22","19,55",2890173
2023-12-12,MAIB,EUR,"19,22","19,54",2890173
2023-12-12,VICTORIABANK,CHF,"20,12","20,79",2890173
2023-12-12,MICB,CHF,"19,60","20,60",2890173
2023-12-12,MAIB,CHF,"20,15","20,65",2890173
2023-12-12,MICB,GBP,"20,70","22,70",2890173
2023-12-13,MICB,USD,"17,80","18,10",2890173
2023-12-13,MAIB,USD,"17,80","18,10",2890173
2023-12-13,MAIB,UAH,"0,44","0,50",2890173
2023-12-13,VICTORIABANK,RON,"3,82","3,96",2890173
2023-12-13,MICB,RON,"3,80","3,97",2890173
2023-12-13,MAIB,RON,"3,80","3,95",2890173
2023-12-13,VICTORIABANK,GBP,"22,15","22,87",2890173
2023-12-13,VICTORIABANK,USD,"17,78","18,12",2890173
2023-12-13,MAIB,GBP,"22,25","22,70",2890173
2023-12-13,VICTORIABANK,EUR,"19,17","19,57",2890173
2023-12-13,MICB,EUR,"19,17","19,53",2890173
2023-12-13,MAIB,EUR,"19,22","19,54",2890173
2023-12-13,VICTORIABANK,CHF,"20,20","20,83",2890173
2023-12-13,MICB,CHF,"19,60","20,60",2890173
2023-12-13,MAIB,CHF,"20,18","20,70",2890173
2023-12-13,MICB,GBP,"20,70","22,70",2890173
2023-12-14,VICTORIABANK,USD,"17,70","18,05",2890173
2023-12-14,MICB,USD,"17,67","18,01",2890173
2023-12-14,MAIB,USD,"17,72","18,02",2890173
2023-12-14,MAIB,UAH,"0,44","0,50",2890173
2023-12-14,VICTORIABANK,RON,"3,80","3,99",2890173
2023-12-14,MICB,RON,"3,80","3,99",2890173
2023-12-14,MAIB,RON,"3,81","3,97",2890173
2023-12-14,VICTORIABANK,GBP,"22,25","22,90",2890173
2023-12-14,MICB,GBP,"20,70","22,70",2890173
2023-12-14,VICTORIABANK,EUR,"19,17","19,67",2890173
2023-12-14,MICB,EUR,"19,17","19,53",2890173
2023-12-14,MAIB,EUR,"19,24","19,56",2890173
2023-12-14,VICTORIABANK,CHF,"20,20","20,95",2890173
2023-12-14,MICB,CHF,"19,70","20,70",2890173
2023-12-14,MAIB,CHF,"20,25","20,75",2890173
2023-12-14,MAIB,GBP,"22,25","22,75",2890173
2023-12-15,MAIB,RON,"3,80","3,96",2890173
2023-12-15,VICTORIABANK,USD,"17,57","17,95",2890173
2023-12-15,MICB,USD,"17,57","17,91",2890173
2023-12-15,MAIB,USD,"17,55","17,85",2890173
2023-12-15,MAIB,UAH,"0,44","0,50",2890173
2023-12-15,VICTORIABANK,RON,"3,80","3,99",2890173
2023-12-15,MICB,RON,"3,82","4,00",2890173
2023-12-15,VICTORIABANK,GBP,"22,20","23,05",2890173
2023-12-15,MICB,GBP,"21,00","22,80",2890173
2023-12-15,MAIB,GBP,"22,20","22,80",2890173
2023-12-15,VICTORIABANK,EUR,"19,20","19,72",2890173
2023-12-15,MICB,EUR,"19,17","19,55",2890173
2023-12-15,MAIB,EUR,"19,20","19,52",2890173
2023-12-15,VICTORIABANK,CHF,"20,10","20,90",2890173
2023-12-15,MICB,CHF,"19,70","20,70",2890173
2023-12-15,MAIB,CHF,"20,00","20,60",2890173
2023-12-16,VICTORIABANK,CHF,"19,97","20,77",2890173
2023-12-16,VICTORIABANK,EUR,"19,05","19,53",2890173
2023-12-16,VICTORIABANK,GBP,"22,75","22,85",2890173
2023-12-16,VICTORIABANK,RON,"3,75","3,98",2890173
2023-12-16,VICTORIABANK,USD,"17,50","17,89",2890173
2023-12-17,VICTORIABANK,USD,"17,50","17,89",2890173
2023-12-17,VICTORIABANK,RON,"3,75","3,98",2890173
2023-12-17,VICTORIABANK,CHF,"19,97","20,77",2890173
2023-12-17,VICTORIABANK,EUR,"19,05","19,53",2890173
2023-12-17,VICTORIABANK,GBP,"22,75","22,85",2890173
