DATE,CURRENCY,MIN BUY,MEDIA BUY,MAX BUY,MIN SELL,MEDIA SELL,MAX SELL
2023-12-01,CHF,19.5,19.733,20.0,20.5,20.573,20.7
2023-12-01,EUR,19.1,19.183,19.25,19.55,19.56,19.57
2023-12-01,GBP,20.7,21.54,22.17,22.67,22.723,22.8
2023-12-01,RON,3.78,3.793,3.82,3.96,3.97,3.98
2023-12-01,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-01,USD,17.57,17.59,17.63,17.91,17.93,17.95
2023-12-02,CHF,19.7,19.7,19.7,20.68,20.68,20.68
2023-12-02,EUR,19.05,19.05,19.05,19.49,19.49,19.49
2023-12-02,GBP,21.7,21.7,21.7,22.7,22.7,22.7
2023-12-02,RON,3.75,3.75,3.75,3.95,3.95,3.95
2023-12-02,USD,17.6,17.6,17.6,17.95,17.95,17.95
2023-12-03,CHF,19.7,19.7,19.7,20.68,20.68,20.68
2023-12-03,EUR,19.05,19.05,19.05,19.49,19.49,19.49
2023-12-03,GBP,21.7,21.7,21.7,22.7,22.7,22.7
2023-12-03,RON,3.75,3.75,3.75,3.95,3.95,3.95
2023-12-03,USD,17.6,17.6,17.6,17.95,17.95,17.95
2023-12-04,CHF,19.6,19.85,20.05,20.6,20.65,20.75
2023-12-04,EUR,19.05,19.117,19.2,19.49,19.503,19.52
2023-12-04,GBP,20.7,21.583,22.2,22.7,22.76,22.85
2023-12-04,RON,3.75,3.777,3.8,3.95,3.96,3.98
2023-12-04,UAH,0.45,0.45,0.45,0.51,0.51,0.51
2023-12-04,USD,17.55,17.583,17.63,17.91,17.93,17.95
2023-12-05,CHF,19.5,19.8,20.0,20.5,20.573,20.7
2023-12-05,EUR,19.0,19.037,19.1,19.41,19.433,19.47
2023-12-05,GBP,20.6,21.5,22.05,22.6,22.657,22.77
2023-12-05,RON,3.75,3.77,3.78,3.93,3.947,3.96
2023-12-05,UAH,0.45,0.45,0.45,0.51,0.51,0.51
2023-12-05,USD,17.53,17.563,17.59,17.87,17.903,17.95
2023-12-06,CHF,19.5,19.76,19.93,20.43,20.497,20.56
2023-12-06,EUR,18.9,18.93,18.98,19.29,19.313,19.35
2023-12-06,GBP,20.6,21.467,22.0,22.52,22.597,22.67
2023-12-06,RON,3.74,3.76,3.77,3.92,3.933,3.95
2023-12-06,UAH,0.44,0.44,0.44,0.5,0.5,0.5
2023-12-06,USD,17.5,17.523,17.57,17.86,17.873,17.89
2023-12-07,CHF,19.4,19.783,20.05,20.4,20.457,20.57
2023-12-07,EUR,18.91,18.98,19.05,19.29,19.303,19.32
2023-12-07,GBP,20.5,21.483,22.05,22.4,22.5,22.6
2023-12-07,RON,3.75,3.763,3.77,3.92,3.927,3.93
