Название списка,Название продукта,Цена продукта
KEBAB,Kebab de vita,"94,00"
KEBAB,New kebab,"94,00"
KEBAB,Nuggets kebab,"94,00"
KEBAB,Crispy kebab,"94,00"
KEBAB,Kebab mare,"87,00"
KEBAB,Vegetarian Kebab mare,"87,00"
KEBAB,Kebab mic,"67,00"
KEBAB,Vegetarian Kebab mic,"67,00"
KEBAB,Hyper kebab,"139,00"
KEBAB,Kebab mix,"100,00"
KEBAB,Baget kebab de Vita,"95,00"
KEBAB,Magic Kebab,"90,00"
KEBAB,Arabic kebab,"90,00"
KEBAB,Baget kebab de pui,"90,00"
KEBAB,Kebab de Vita,"90,00"
KEBAB,Classic kebab mare,"80,00"
KEBAB,Burger de Vita,"77,00"
KEBAB,Classic kebab mic,"70,00"
KEBAB,BURGER,"69,00"
KEBAB,FISH BURGER,"69,00"
KEBAB,Kebab fără carne,"59,00"
KEBAB,Gozlema,"45,00"
KEBAB,Meniu kebab de vita mare,"120,00"
KEBAB,Meniu kebab arabic de pui,"120,00"
KEBAB,Meniu kebab arabic de vita,"120,00"
KEBAB,Meniu kebab de pui mare,"110,00"
KEBAB,Meniu kebab de vita mic,"110,00"
KEBAB,Meniu kebab de pui mic,"100,00"
KEBAB,Kebab arabic de vita,"85,00"
KEBAB,Kebab de vita mare,"80,00"
KEBAB,Kebab arabic de pui,"80,00"
KEBAB,Kebab de pui mare,"75,00"
KEBAB,Kebab de vita mic,"70,00"
KEBAB,Kebab de pui mic,"65,00"
