Название,Цена
"Ноутбук 16,2"" Apple MacBook Pro 16 A2485, Космический серый, M1 Max with 10-core CPU and 32-core GPU, 64Гб/2048Гб, macOS Monterey",79990
"Игровой ноутбук 17,3"" ASUS ROG Strix G17 G713RW, Eclipse Gray, AMD Ryzen 9 6900HX, 16Гб/1024Гб, Без ОС",34990
"Игровой ноутбук 16"" ASUS TUF Gaming A16 Advantage Edition FA617NS, Off Black, AMD Ryzen 7 7735HS, 16Гб/1024Гб, Без ОС",22990
"Игровой ноутбук 15,6"" ASUS TUF Gaming A15 FA507RR, Jaeger Gray, AMD Ryzen 7 6800H, 16Гб/512Гб, Без ОС",19990
"Ноутбук для бизнеса 15,6"" Lenovo ThinkBook 15 G4 IAP, Mineral Grey, Intel Core i7-1255U, 16Гб/512Гб, Без ОС",18990
"Игровой ноутбук 15,6"" ASUS TUF Gaming F15 FX507ZC4, Mecha Gray, Intel Core i5-12500H, 16Гб/512Гб, Без ОС",15990
"Игровой ноутбук 15,6"" ASUS TUF Gaming A15 FA507RE, Jaeger Gray, AMD Ryzen 7 6800H, 8Гб/512Гб, Без ОС",14990
"Ноутбук 16"" ASUS Vivobook S 16X M5602QA, Sand Grey, AMD Ryzen 5 5600H, 16Гб/512Гб, Без ОС",13990
"Ноутбук 16"" ASUS Vivobook S 16X M5602QA, Solar Silver, AMD Ryzen 5 5600H, 16Гб/512Гб, Без ОС",13990
"Игровой ноутбук 15,6"" ASUS TUF Dash F15 FX517ZC, Off Black, Intel Core i5-12450H, 8Гб/512Гб, Без ОС",14490
"Ноутбук 15,6"" Lenovo IdeaPad Slim 3 15IAN8, Arctic Grey, Intel Core i3-N305, 8Гб/512Гб, Без ОС",6990
"Ноутбук 15,6"" Lenovo IdeaPad 3 15ITL6, Arctic Grey, Intel Core i5-1135G7, 8Гб/256Гб, Без ОС",6990
"Ноутбук 16,2"" Apple MacBook Pro 16 A2991, Space Black, M3 Max with 16-core CPU and 40-core GPU, 48GB/1024Гб, macOS Sonoma",95990
"Ноутбук 16,2"" Apple MacBook Pro 16 A2991, Серебристый, M3 Max with 16-core CPU and 40-core GPU, 48GB/1024Гб, macOS Sonoma",95990
"Игровой ноутбук 16"" ASUS ROG Strix SCAR 16 G634JY, Off Black, Intel Core i9-13980HX, 32Гб/2048Гб, Без ОС",79990
"Игровой ноутбук 18"" ASUS ROG Strix SCAR 18 G834JYR, Off Black, Intel Core i9-14900HX, 32Гб/2048Гб, Без ОС",77990
