Название,Цена
Laptop Lenovo IdeaPad 1 15ALC7-AHRK Gray,8490
Laptop Lenovo IdeaPad 3 15IAU7-R3RK Arctic Gray,7490
Laptop Lenovo IdeaPad 5 15ALC05-SYRE Graphite Gray,5990
Laptop Lenovo IdeaPad Slim 5 16IRL8-2LRK Cloud Gray,16990
Laptop Lenovo LOQ 3 15IRH8-CJRK Storm Gray,16990
Laptop Lenovo LOQ 3 15IRX90 Luna Gray,18990
Lenovo IdeaPad 5 15ALC05-SYRE,6990
Lenovo IdeaPad Gaming 3 15ACH6-8URK,14990
Lenovo IdeaPad Slim 3 15AMN8,6790
Lenovo IdeaPad Slim 3 15AMN8,8990
Lenovo LOQ 3 15IRH8-CJRK,15990
"Ноутбук 15,6"" Lenovo IdeaPad 3 15ITL6, Arctic Grey, Intel Core i5-1135G7, 8Гб/256Гб, Без ОС",6990
"Ноутбук 15,6"" Lenovo IdeaPad Slim 3 15IAN8, Arctic Grey, Intel Core i3-N305, 8Гб/512Гб, Без ОС",6990
"Ноутбук для бизнеса 15,6"" Lenovo ThinkBook 15 G4 IAP, Mineral Grey, Intel Core i7-1255U, 16Гб/512Гб, Без ОС",18990
