Название,Цена
OPPO Reno 10 5G  8/256GB Silvery Grey,5999
Samsung Galaxy A54  8/256GB Awesome Black,8199
Xiaomi Redmi Note 12 Pro 4G  8/256GB Grey,4999
Apple iPhone 15  6/128GB Black,16999
OPPO A98 5G  8/256GB Dreamy Blue,5899
Apple iPhone 13  4/128GB Blue,12699
Xiaomi 13T  8/256GB Black,9199
Xiaomi Redmi Note 13 4G  8/256GB Ice Blue,3999
Samsung Galaxy A24  6/128GB Black,3999
Samsung Galaxy S22 (S901)  8/128GB Phantom Black,11999
Samsung Galaxy S23  8/256GB Black,17399
Apple iPhone 11  64GB Black,9399
Apple iPhone 14  6/128GB Midnight,14999
Xiaomi 13 Lite  8/256GB Black,7999
OnePlus 12  16/512GB Silky Black,19999
