Название,Цена
Smartphone Xiaomi Mi 11 Lite NE 8/128GB Black,3999
Smartphone Xiaomi Mi 13T 8/256 Blue,8499
Smartphone Xiaomi Mi 13T Pro 12/512 Black,12699
Smartphone Xiaomi POCO F4 6/128GB Green,4599
Smartphone Xiaomi POCO M5 4/64 Black,2199
Smartphone Xiaomi POCO M5 6/128 Black,2899
Smartphone Xiaomi POCO M5S 4/64 Gray,2599
Smartphone Xiaomi POCO X5 6/128GB Black,3699
Smartphone Xiaomi POCO X5 6/128GB Blue,3699
Smartphone Xiaomi Redmi 9A 2/32Gb Gray,1399
Smartphone Xiaomi Redmi A2 2/32GB Black,1099
Xiaomi 13 Lite  8/256GB Black,7999
Xiaomi 13T  8/256GB Black,9199
Xiaomi Redmi Note 12 Pro 4G  8/256GB Grey,4999
Xiaomi Redmi Note 13 4G  8/256GB Ice Blue,3999
