Название продукта,Цена продукта
Canada Black Roll,"236,00"
Canada Roll,"223,00"
Azumi Roll,"189,00"
Philadelphia Lux Roll,"180,00"
Roll Panko,"180,00"
Rainbow Roll,"179,00"
California cu Creveți Roll,"178,00"
California Salmon Roll,"172,00"
California Unaghi Roll,"165,00"
Maguro Ebi Roll,"165,00"
Green Dragon Roll,"164,00"
Tempura Unaghi Roll,"163,00"
Tuna Roll,"161,00"
Tempura Ton Roll,"156,00"
Tempura Creveți Roll,"156,00"
Philadelphia Creveți Roll,"155,00"
California Fride Roll,"153,00"
Philadelphia Lime Roll,"152,00"
Philadelphia Cașcaval Roll,"152,00"
Philadelphia Classic Roll,"152,00"
Philadelphia Grill Roll,"148,00"
Philadelphia Mix Roll,"145,00"
Tempura Somon Roll,"144,00"
Chuka Roll,"139,00"
Maki Țipar Roll,"110,00"
Banzai Roll,"105,00"
Maki Ebi Roll,"99,00"
Maki Tuna Roll,"99,00"
Vegan Roll,"98,00"
Maki Somon Roll,"90,00"
Maki Avocado Roll,"78,00"
