Название продукта,Цена продукта
Canada Black Roll,"236,00"
Canada Roll,"223,00"
Azumi Roll,"189,00"
Philadelphia Lux Roll,"180,00"
Roll Panko,"180,00"
Rainbow Roll,"179,00"
California cu Creveți Roll,"178,00"
California Salmon Roll,"172,00"
California Unaghi Roll,"165,00"
Maguro Ebi Roll,"165,00"
Green Dragon Roll,"164,00"
Tempura Unaghi Roll,"163,00"
Tuna Roll,"161,00"
Tempura Ton Roll,"156,00"
Tempura Creveți Roll,"156,00"
Philadelphia Creveți Roll,"155,00"
California Fride Roll,"153,00"
Philadelphia Lime Roll,"152,00"
Philadelphia Cașcaval Roll,"152,00"
Philadelphia Classic Roll,"152,00"
Philadelphia Grill Roll,"148,00"
Philadelphia Mix Roll,"145,00"
Tempura Somon Roll,"144,00"
Chuka Roll,"139,00"
Maki Țipar Roll,"110,00"
Banzai Roll,"105,00"
Maki Ebi Roll,"99,00"
Maki Tuna Roll,"99,00"
Vegan Roll,"98,00"
Maki Somon Roll,"90,00"
Maki Avocado Roll,"78,00"
Canada,"235,00"
Philadelphia,"169,00"
Philadelphia Mix,"165,00"
Tempura Salmon,"165,00"
Canada,"185,00"
Tipar cremos,"169,00"
Creveta Taivaneza,"164,00"
Philadelphia cu avocado,"159,00"
California cu somon,"155,00"
Philadelphia Classic,"149,00"
Philadelphia Cream,"149,00"
Kani Kama,"135,00"
California Cream,"129,00"
California crab,"129,00"
Banzai,"124,00"
Philadelphia cu susan,"119,00"
Philadelphia Light,"116,00"
California cu susan,"99,00"
California Fresh,"99,00"
Chicken Cheese,"99,00"
